"","id","text","lang","author_id","created_at","clean_text","created_at_round"
"1","1578468221744578560","Uganda: Ebola - ""Dr Christopher Mambula, programme manager for Médecins Sans Frontières (MSF) in Uganda, said the situation was 'very serious'. Cases were rising daily and it was still unclear how widely the virus had spread,.."" https://t.co/euPnHDZHqB h/t Pathfinder","en","19087092",2022-10-07 19:32:05,"uganda eboladr christopher mambula programme manager for médecins sans frontières msf in uganda said the situation was very serious cases were rising daily and it was still unclear how widely the virus had spreadht pathfinder",2022-10-07 20:00:00
"2","1578468017926656002","The Ebola virus kills 4 out of every 5 humans it infects.","en","1128063316511866881",2022-10-07 19:31:16,"the ebola virus killsout of everyhumans it infects",2022-10-07 20:00:00
"3","1578467851052101632","@RwothomioJulio3 @AIno_Mugisha Corona and ebola are still  there are 🤣🤣🤣🤣","en","1511242744475357184",2022-10-07 19:30:36,"corona and ebola are stillthere are",2022-10-07 20:00:00
"4","1578467727337230337","Biden Administration Orders Airport Ebola Screenings Amidst Deadly Ugandan Outbreak https://t.co/x9cR4dW9FI","en","18269496",2022-10-07 19:30:07,"biden administration orders airpo ebola screenings amidst deadly ugandan outbreak",2022-10-07 20:00:00
"5","1578467699537371136","NHS warns to be ‘vigilant’ against Ebola as America launches airport scan https://t.co/NMNEGEgz7E","en","1570548093052911616",2022-10-07 19:30:00,"nhs warns to be vigilant against ebola as america launches airposcan",2022-10-07 20:00:00
"6","1578467680331264000","@CTVNews does blackface groper have his own ""vaccine"" ready to go for ebola? 🤡🇨🇦","en","1492316303180378112",2022-10-07 19:29:56,"does blackface groper have his own vaccine ready to go for ebola",2022-10-07 19:00:00
"7","1578467534567002112","Ebola: This is Not ""Over"" https://t.co/xvpoHfa8vx","en","707938453",2022-10-07 19:29:21,"ebola this is not over",2022-10-07 19:00:00
"8","1578467517366173696","@SteveOfAmazing @crazydog55Donna @Bob31685906 @KateTalksTruth @elonmusk I bet you’ve never met someone who died of Ebola or tuberculosis so it must not be true they died from it since your personal experience triumphs over science 🙄🙄","en","1420054623814144007",2022-10-07 19:29:17,"i bet youve never met someone who died of ebola or tuberculosis so it must not be true they died from it since your personal experience triumphs over science",2022-10-07 19:00:00
"9","1578467480942440448","U.S. to screen passengers from Uganda for Ebola https://t.co/iR4amjhlWe","en","1571315050648055808",2022-10-07 19:29:08,"us to screen passengers from uganda forebola",2022-10-07 19:00:00
"10","1578467473749573632","@HH_LUFC Lucozade cured all when I were little, probably get over Ebola with a 1 litre bottle 😂","en","228776280",2022-10-07 19:29:06,"lucozade cured all when i were little probably get over ebola with alitre bottle",2022-10-07 19:00:00
"11","1578467301845880836","Biden Administration Orders Airport Ebola Screenings Amidst Deadly Ugandan Outbreak 
 
The Biden administration started screening travelers from Uganda for Ebola on Thursday amidst a deadly variant outbreak that has not...
https://t.co/XXD1qW2eaI","en","1333283589291601923",2022-10-07 19:28:25,"biden administration orders airpo ebola screenings amidst deadly ugandan outbreak    the biden administration staed screening travelers from uganda for ebola on thursday amidst a deadly variant outbreak that has not ",2022-10-07 19:00:00
"12","1578467201182760960","@CTVNews Now they're unleashing Ebola?","en","20896277",2022-10-07 19:28:01,"now theyre unleashing ebola",2022-10-07 19:00:00
"13","1578466904833826816","@FiatLuxGenesis Isn't there always Ebola in Uganda?","en","38509501",2022-10-07 19:26:51,"isnt there always ebola in uganda",2022-10-07 19:00:00
"14","1578466294680018944","We all know the 2018 caravan. But the way in which cable news went absolute apeshit over Ebola in 2014 is just nuts in retrospect.

Two people died from the outbreak in the US - for perspective, more Americans will die from COVID in the next 5 minutes than that entire outbreak. https://t.co/4Wj1dnX5a9","en","595739003",2022-10-07 19:24:25,"we all know thecaravan but the way in which cable news went absolute apeshit over ebola inis just nuts in retrospect  two people died from the outbreak in the usfor perspective more americans will die from covid in the nextminutes than that entire outbreak",2022-10-07 19:00:00
"15","1578466145891340288","@karenhunter is it the Ebola they are looking for or the gold from Uganda?","en","1574590530276577280",2022-10-07 19:23:50,"is it the ebola they are looking for or the gold from uganda",2022-10-07 19:00:00
"16","1578465961547481094","@PeterObi Obi - Datti family should ensure officials of the campaign organization are tested Nigerians who has no APC/ PDP ebola.","en","1571133094857506818",2022-10-07 19:23:06,"obidatti family should ensure officials of the campaign organization are tested nigerians who has no apc pdp ebola",2022-10-07 19:00:00
"17","1578465915116883968","@CTVNews I guess the Mon(k)eypox scare didn't take traction. So, we got an Ebola jab coming, I assume?","en","577622223",2022-10-07 19:22:55,"i guess the monkeypox scare didnt take traction so we got an ebola jab coming i assume",2022-10-07 19:00:00
"18","1578465858888036352","Dear Ebola,

Let your haters be your motivators.

Let your deniers be your suppliers.

Let the minimizers be your mobilizers.

Sincerely,

Covid","en","1505200770366509056",2022-10-07 19:22:41,"dear ebola  let your haters be your motivators  let your deniers be your suppliers  let the minimizers be your mobilizers  sincerely  covid",2022-10-07 19:00:00
"19","1578465770753101824","#Africa CD, WHO to host regional meeting on Ebola in Uganda https://t.co/Z8zV555Qpj","en","1575394305644298240",2022-10-07 19:22:20,"africa cd who to host regional meeting on ebola in uganda",2022-10-07 19:00:00
"20","1578465636497641472","@FiatLuxGenesis So they're backing off nukes in favor of Ebola?","en","1569113739571388420",2022-10-07 19:21:48,"so theyre backing off nukes in favor of ebola",2022-10-07 19:00:00
"21","1578465584890904576","Biden Administration Orders Airport Ebola Screenings Amidst Deadly Ugandan Outbreak

Here it comes folks…you wondered how ‘they’ would do it next month…this could be it. https://t.co/cBKX2YMxex","en","1519449691901116442",2022-10-07 19:21:36,"biden administration orders airpo ebola screenings amidst deadly ugandan outbreak  here it comes folksyou wondered how they would do it next monththis could be it",2022-10-07 19:00:00
"22","1578465542133776384","@co2detective3 @lisa_iannattone It needs to be transmitted to cause an outbreak and transmission is by contact. Any cases that happen to make it here will be quickly contained. https://t.co/c6SJFjRF2n","en","985321824539021313",2022-10-07 19:21:26,"it needs to be transmitted to cause an outbreak and transmission is by contact any cases that happen to make it here will be quickly contained",2022-10-07 19:00:00
"23","1578465494474010624","Travelers coming to the U.S. from Uganda will face enhanced screening for Ebola https://t.co/EyBvrK07o7","en","1519858645441277952",2022-10-07 19:21:15,"travelers coming to the us from uganda will face enhanced screening for ebola",2022-10-07 19:00:00
"24","1578465340215926785","CDC, WHO, Uganda to host regional meeting as Ebola spreads https://t.co/7S2BR4b84s https://t.co/yiLQALrVk5","en","203123011",2022-10-07 19:20:38,"cdc who uganda to host regional meeting as ebola spreads",2022-10-07 19:00:00
"25","1578465296066543616","Biden Administration Orders Airport Ebola Screenings Amidst Deadly Ugandan Outbreak https://t.co/VNhk8gtBmy","en","185115193",2022-10-07 19:20:27,"biden administration orders airpo ebola screenings amidst deadly ugandanoutbreak",2022-10-07 19:00:00
"26","1578465188449120256","“Given what we know about the ongoing SARS-CoV-2 GOF research &amp; yes, its still ongoing, I believe we can assume that such research is also being conducted with the Ebola virus. This is downright frightening and we deserve answers”

https://t.co/CJfWZKOYEK https://t.co/SxOxt47jb2","en","835312153175392258",2022-10-07 19:20:02,"given what we know about the ongoing sarscov gof research amp yes its still ongoing i believe we can assume that such research is also being conducted with the ebola virus this is downright frightening and we deserve answers  ",2022-10-07 19:00:00
"27","1578465066290073600","@ScienceBotikus Whoa! Did you know:  The Ebola virus kills 4 out of every 5 humans it infects. @ScienceBotikus","en","1452689952018509828",2022-10-07 19:19:32,"whoa did you knowthe ebola virus killsout of everyhumans it infects",2022-10-07 19:00:00
"28","1578465018621751296","@SteamGamesPC what happened to Ebola 1????","en","883704454280871937",2022-10-07 19:19:21,"what happened to ebola",2022-10-07 19:00:00
"29","1578464942940123136","Biden Administration Orders Airport Ebola Screenings Amidst Deadly Ugandan Outbreak https://t.co/CTVPdOODkN","en","1215486846798569473",2022-10-07 19:19:03,"biden administration orders airpo ebola screenings amidst deadly ugandan outbreak",2022-10-07 19:00:00
"30","1578464842490343424","@Craig_A_Spencer Ahh... This looks suspiciously airborne,  between species....(ALL became infected)..and contagious. Ebola https://t.co/v70mmTTW8N","en","1492201481788739584",2022-10-07 19:18:39,"ahh this looks suspiciously airbornebetween speciesall became infectedand contagious ebola",2022-10-07 19:00:00
"31","1578464686584258561","During the past two midterms, the last month of the campaign was consumed by absolute hysteria. Fox led the way - but other networks made the choice to follow.

I talked to @ParkerMolloy about Ebola, caravans, and why we need to be ready for Foxtober: https://t.co/1SpDYrsqqY","en","595739003",2022-10-07 19:18:02,"during the past two midterms the last month of the campaign was consumed by absolute hysteria fox led the waybut other networks made the choice to follow  i talked toabout ebola caravans and why we need to be ready for foxtober",2022-10-07 19:00:00
"32","1578464451753541632","What we know about the unfolding Ebola outbreak in Uganda 

#MedPub #MedTwitter #MedEd #MedNews
https://t.co/yRIYz1MRj9","en","1271686381505581056",2022-10-07 19:17:06,"what we know about the unfolding ebola outbreak in uganda   medpub medtwitter meded mednews ",2022-10-07 19:00:00
"33","1578464360808054784","HERE WE GO AGAIN NHS warned to be 'vigilant' of Ebola and shore up supplies of PPE as Uganda outbreak grows  https://t.co/4wolZ9nkCY","en","1437876272387051520",2022-10-07 19:16:44,"here we go again nhs warned to be vigilant of ebola and shore up supplies of ppe as uganda outbreak grows",2022-10-07 19:00:00
"34","1578464215106347008","#Biden Administration Orders Airport Ebola Screenings Amidst Deadly Ugandan Outbreak #Buzzerly #TwitterAlternative https://t.co/95FUJiEvWq","en","1394995672340893697",2022-10-07 19:16:09,"biden administration orders airpo ebola screenings amidst deadly ugandan outbreak buzzerly twitteralternative",2022-10-07 19:00:00
"35","1578464195548688384","@berrycrypt Only 8.210 evd","en","1562446482833575936",2022-10-07 19:16:05,"onlyevd",2022-10-07 19:00:00
"36","1578463943302950913","Ugandan health authorities are setting up emergency response teams, isolation centres, and treatment tents in 20 places around the central Mubende district after the first death from a new outbreak of Ebola virus disease was announced on 19 September
https://t.co/RWeJ0TMRDa","en","16949344",2022-10-07 19:15:05,"ugandan health authorities are setting up emergency response teams isolation centres and treatment tents inplaces around the central mubende district after the first death from a new outbreak of ebola virus disease was announced onseptember ",2022-10-07 19:00:00
