"","id","text","lang","author_id","created_at","clean_text"
"1","1581341345561862147","Lockdown in Mubende and Kasanda due to Ebola outbreak and fast spread,the situation is under management","en","1085253709406396416","2022-10-15T17:48:51.000Z","lockdown in mubende and kasanda due to ebola outbreak and fast spreadthe situation is under management"
"2","1581341327308247042","@vomuhabura Its due to Ebola please! Take your fake news down","en","1195018950481985542","2022-10-15T17:48:46.000Z","its due to ebola please take your fake news down"
"3","1581341258030919685","President Museveni has announced a raft of measures to curb the further spread of Ebola in Uganda; all take immediate effect and will last 21 days

1. Movements into and out of Mubende and Kassanda districts is prohibited https://t.co/5nyixY0Xvm","en","1076608238","2022-10-15T17:48:30.000Z","president museveni has announced a raft of measures to curb the fuher spread of ebola in uganda all take immediate effect and will lastdays   movements into and out of mubende and kassanda districts is prohibited"
"4","1581341254281232385","In an effort to curb the further spread of #Ebola @KagutaMuseveni has directed that Movements into and out of Mubende and Kasanda districts be prohibited. 

#NTVNews #M7Address","en","1031280904688283649","2022-10-15T17:48:29.000Z","in an effo to curb the fuher spread of ebolahas directed that movements into and out of mubende and kasanda districts be prohibited   ntvnews maddress"
"5","1581341177898729472","@maej43 Covid is one thing, monkeypox I can also handle, Ebola? Oh hell no.","en","1217463289950756871","2022-10-15T17:48:11.000Z","covid is one thing monkeypox i can also handle ebola oh hell no"
"6","1581341158877237249","President Museveni has announced a raft of measures to curb the further spread of Ebola in Uganda; all take immediate effect and will last 21 days

1. Movements into and out of Mubende and Kassanda districts is prohibited 🚫 https://t.co/uA76QJoBrl","en","1296781235054940160","2022-10-15T17:48:06.000Z","president museveni has announced a raft of measures to curb the fuher spread of ebola in uganda all take immediate effect and will lastdays   movements into and out of mubende and kassanda districts is prohibited"
"7","1581341154137686016","""This sickness is a bad disease, once Ebola gets into your body, it's actually very easy to avoid. It doesn't spread very much because it goes through intimate body contact."" - President Museveni.

#M7Address | #Radio4UG https://t.co/G5p1hBWEhr","en","1050367799229599744","2022-10-15T17:48:05.000Z","this sickness is a bad disease once ebola gets into your body its actually very easy to avoid it doesnt spread very much because it goes through intimate body contactpresident museveni  maddressradioug"
"8","1581341131954356225","@KagutaMuseveni imposes transport restrictions on both public and private motorists in Mubende and Kassanda districts in order to curb the spread of Ebola @ntvuganda #NTVNews https://t.co/eh1qJoSyyh","en","789654823","2022-10-15T17:48:00.000Z","imposes transpo restrictions on both public and private motorists in mubende and kassanda districts in order to curb the spread of ebolantvnews"
"9","1581341128653037568","Public transport (buses, taxis, BodaBodas) in Mubende and Kasanda prohibited both day and night.

Only cargo vehicles permitted to move

- President Museveni #Ebola","en","274925909","2022-10-15T17:47:59.000Z","public transpo buses taxis bodabodas in mubende and kasanda prohibited both day and night  only cargo vehicles permitted to move   president museveni ebola"
"10","1581341127781003265","President Museveni has announced a raft of measures to curb the further spread of Ebola in Uganda; all take immediate effect and will last 21 days

1. Movements into and out of Mubende and Kassanda districts is prohibited 🚫 https://t.co/wWfnnM74cg","en","1548481578556276741","2022-10-15T17:47:59.000Z","president museveni has announced a raft of measures to curb the fuher spread of ebola in uganda all take immediate effect and will lastdays   movements into and out of mubende and kassanda districts is prohibited"
"11","1581341092963749888","President Museveni has announced a raft of measures to curb the further spread of Ebola in Uganda; all take immediate effect and will last 21 days

1. Movements into and out of Mubende and Kassanda districts is prohibited 🚫 https://t.co/SlMO1iLwh4","en","1130437626337648640","2022-10-15T17:47:51.000Z","president museveni has announced a raft of measures to curb the fuher spread of ebola in uganda all take immediate effect and will lastdays   movements into and out of mubende and kassanda districts is prohibited"
"12","1581341076258193408","Ok, enough Twitter. I can't breathe. Ebola &amp; nuclear war. I'm crying. I hate this life. Should I even bother calling crisis? I'll try talking to my family. But might get put in psychward if I do. Idk. Why donwe have to go through this?","en","35877890","2022-10-15T17:47:47.000Z","ok enough twitter i cant breathe ebola amp nuclear war im crying i hate this life should i even bother calling crisis ill try talking to my family but might get put in psychward if i do idk why donwe have to go through this"
"13","1581341063121276928","@BreannaMorello It was eaten by murder hornets and ebola.  Lol","en","1519349940874579969","2022-10-15T17:47:44.000Z","it was eaten by murder hornets and ebolalol"
